image,classification,review,plot,reviewed
data/raw/gyu_det/v3/extracted/valid/valid/images/8622.JPG,MODEL FAILURE relative to approved GT,"Hole GT #4 is visible as a circular opening but missed. It occupies about 6.9 x 8.3 pixels at 640, within a larger Breakage region. Loss of rim/detail is visible in the display comparison; a higher-resolution model benefit remains untested.",examples/8622_review.jpg,True
data/raw/gyu_det/v3/extracted/valid/valid/images/9217.jpg,MODEL FAILURE relative to approved GT,Reinforcement GT #10 is about 2.0 x 16.6 pixels at 640. Thin hanging metal is clearer in the source crop and is missed at the analysis point. Several neighboring small targets are also missed; density and size are confounded.,examples/9217_review.jpg,True
data/raw/gyu_det/v3/extracted/valid/valid/images/11986.jpg,MODEL FAILURE plus possible boundary ambiguity,A confidence ~0.39 Crack box extends substantially beyond the narrower annotated crack segment. A better-localized lower-score proposal exists. The Seepage prediction on the pale patch is unmatched to an annotation; its physical validity cannot be settled from this image alone.,examples/11986_review.jpg,True
data/raw/gyu_det/v3/extracted/valid/valid/images/9194.jpg,MODEL FAILURE plus visual ambiguity,"All three annotated Seepage streaks are missed at the analysis point. Broad Honeycombing boxes cover stained/textured wall regions. The streaks remain visible at 640, so this is not solely a tiny-object problem. Low contrast and competing textures are plausible contributors, not proven causes.",examples/9194_review.jpg,True
data/raw/gyu_det/v3/extracted/valid/valid/images/9199.jpg,POSSIBLE ANNOTATION / VISUAL AMBIGUITY,"Three GT regions labeled Breakage coincide with visibly exposed metal; the model predicts Exposed Reinforcement. This is a measurable label-based class confusion, but the visual semantics overlap. Two Honeycombing GT regions also receive one broad predicted region. Do not declare the annotations wrong.",examples/9199_review.jpg,True
data/raw/gyu_det/v3/extracted/valid/valid/images/12001.jpg,POSSIBLE ANNOTATION / VISUAL AMBIGUITY,A large Honeycombing GT box covers broadly textured concrete; the prominent prediction is Breakage. The image does not establish an unambiguous class boundary. A lower-score Honeycombing proposal accounts for the diagnostic score-suppressed label.,examples/12001_review.jpg,True
data/raw/gyu_det/v3/extracted/valid/valid/images/12297.jpg,LOCALIZATION / DUPLICATE CANDIDATES with annotation overlap,"The same crack system has five overlapping GT boxes and multiple overlapping predictions, including a broad oversized box. Redundant prediction candidates exist, but overlapping annotations make a blanket duplicate/annotation-error judgment inappropriate.",examples/12297_review.jpg,True
data/raw/gyu_det/v3/extracted/valid/valid/images/12254.jpg,DENSE-SCENE COUNTEREXAMPLE,"The image contains 59 annotations. The model correctly matches 39 and misses 20 at the analysis point, retaining many exposed-reinforcement targets. Density does not imply universal failure, and the count remains below max_det=300.",examples/12254_review.jpg,True
data/raw/gyu_det/v3/extracted/valid/valid/images/12305.jpg,LOW-SOURCE-RESOLUTION LIMITATION,The 550 x 413 source contains 28 annotations; 14 match and 14 are missed. Higher input size cannot recover absent original detail. Multiple adjacent reinforcement instances and broad Breakage boxes complicate matching.,examples/12305_review.jpg,True
data/raw/gyu_det/v3/extracted/valid/valid/images/11992.jpg,MODEL FAILURE plus unmatched-region ambiguity,"Four clustered annotated Breakage boxes on the left are missed; the source itself is blurred there. Predictions also cover unannotated dark/rust-colored regions on the right. These are benchmark false positives, but they are not proof of physically undamaged surfaces.",examples/11992_review.jpg,True
